input,output
come on you can trust me please,you try to mess with us or go to the cops i promise you ill put holes in her you wouldnt believe
let her go,first the money
rosalie you okay,what are you talkin about i said i wouldnt hurt her
how you doing man,not bad not bad
you want to go outside,naw right heres okay
you sure,im sure everybody heres looking at everybody elses ass
how about some ammo,its loaded i got some shells in here
how much,this is clean shit no serial numbers and never been used
this is clean shit no serial numbers and never been used,dont mess with me how much
dont mess with me how much,five bills
five bills,five on credit
five on credit,this aint a credit business
yeah i know that but this is me and were old friends i havent got the money so what are you gonna do about it,give it back
give it back,try and take it
fuck you you got no right for this kind of play,ill got your money to you no sweat
appipulai leeloo minai,cornilius
cornilius,at your service
whatre you laughing about,napoleon small
the casewith the stones where is it,san agamat chay bet envolet
san agamat chay bet envolet,the case was stolen
iksetkiba me imanetaba oum dalat,you know exactly where they are
vano da mechteba soun domo kala chon hammas,no im not proud of myself but we dont have the luxury of choice
akta dedero ansila do mektet,i cant pretend to be your husband davids in great shape
were saved,im fucked
zorg jeanbaptiste emmanuel zorg nice to see you again,i remember you nowthe so called art dealer
i remember you nowthe so called art dealer,im glad you got your memory back father because youre going to need it where are the stones
im glad you got your memory back father because youre going to need it where are the stones,why on earth do the stones interest you
